id;name;description;price;product_size;image;image_content_type
1;confirm edge enroll;yuck;8592.24;M;../fake-data/blob/hipster.png;image/png
2;blah;ugh blah;26358.62;XXL;../fake-data/blob/hipster.png;image/png
3;opposite;however;21198.75;XL;../fake-data/blob/hipster.png;image/png
4;armoire mummify;function transplant;32153.31;M;../fake-data/blob/hipster.png;image/png
5;coil oxygenate that;unabashedly ha;31061.95;L;../fake-data/blob/hipster.png;image/png
6;knowingly fooey without;useless vainly declaration;18509.58;M;../fake-data/blob/hipster.png;image/png
7;likewise recount meanwhile;likewise following;3110.4;XL;../fake-data/blob/hipster.png;image/png
8;that pressure;trash beyond;7657.62;L;../fake-data/blob/hipster.png;image/png
9;sometimes but under;over yellow joyously;27342.6;XXL;../fake-data/blob/hipster.png;image/png
10;equatorial whoa whereas;assist allocation;26132.57;XL;../fake-data/blob/hipster.png;image/png
